participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.bomb,player.bomb_row,player.bomb_col,player.boxes_collected,player.pay_this_round,player.round_result,player.payoff,group.id_in_subsession,subsession.round_number,session.code
7,5yibke6y,,0,184,183,etfs,Adios,128.200.135.216,2019-04-25 22:25:45.068618+00:00,1,,,426.5,7,0,2,9,44,1,132,132,1,1,l5wcvj1h
8,npco0bwz,,0,184,183,etfs,Adios,128.200.135.201,2019-04-25 22:25:45.232385+00:00,1,,,920.5,8,0,10,6,30,1,90,90,1,1,l5wcvj1h
9,9g8syzdx,,0,184,183,etfs,Adios,128.200.135.208,2019-04-25 22:25:45.843069+00:00,1,,,544,9,1,6,7,25,1,0,0,1,1,l5wcvj1h
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,0,2,7,13,1,39,39,1,1,l60a9yvg
2,uw2p1vmt,,0,183,183,etfs2,Adios,128.200.135.218,2019-05-01 20:25:34.377431+00:00,1,,,767,2,0,7,4,66,1,198,198,1,1,l60a9yvg
3,nuwqm5dq,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-01 20:25:34.922010+00:00,1,,,704,3,0,8,3,45,1,135,135,1,1,l60a9yvg
4,b53tarpq,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-01 20:25:35.051203+00:00,1,,,440,4,1,3,7,60,1,0,0,1,1,l60a9yvg
5,32aoo3sd,,0,184,183,etfs2,Adios,128.200.135.206,2019-05-01 20:25:36.159887+00:00,1,,,597.5,5,0,5,1,32,1,96,96,1,1,l60a9yvg
6,z5gaz9i2,,0,184,183,etfs2,Adios,128.200.135.214,2019-05-01 20:25:36.645351+00:00,1,,,781.5,6,1,10,9,14,1,0,0,1,1,l60a9yvg
7,3btpnx53,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-01 20:25:38.101479+00:00,1,,,417.5,7,1,4,6,18,1,0,0,1,1,l60a9yvg
8,xz7jogl2,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-01 20:25:38.235252+00:00,1,,,413,8,1,1,2,51,1,0,0,1,1,l60a9yvg
9,sgv4wvo7,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-01 20:25:39.767653+00:00,1,,,929.5,9,0,3,9,45,1,135,135,1,1,l60a9yvg
1,cvcm3gz2,,0,184,183,etfs,Adios,128.200.135.218,2019-01-25 19:31:35.471233+00:00,1,,,713,1,0,7,5,42,1,126,126,1,1,h8jbztbi
2,5p5d3wun,,0,184,183,etfs,Adios,128.200.135.212,2019-01-25 19:31:36.059922+00:00,1,,,573,2,1,3,7,40,1,0,0,1,1,h8jbztbi
3,5sfkbrax,,0,184,183,etfs,Adios,128.200.135.214,2019-01-25 19:31:36.287112+00:00,1,,,682,3,0,5,3,20,1,60,60,1,1,h8jbztbi
4,66ndl6wq,,0,184,183,etfs,Adios,128.200.135.216,2019-01-25 19:31:39.734961+00:00,1,,,540,4,1,6,8,30,1,0,0,1,1,h8jbztbi
5,qto5fhjj,,0,184,183,etfs,Adios,128.200.135.206,2019-01-25 19:31:40.789696+00:00,1,,,422,5,1,1,4,30,1,0,0,1,1,h8jbztbi
6,prd4jg1a,,0,184,183,etfs,Adios,128.200.135.201,2019-01-25 19:31:40.892420+00:00,1,,,589,6,1,2,1,53,1,0,0,1,1,h8jbztbi
7,roycq20l,,0,184,183,etfs,Adios,128.200.135.199,2019-01-25 19:31:41.653346+00:00,1,,,546,7,1,10,4,31,1,0,0,1,1,h8jbztbi
8,sp2tp47u,,0,184,183,etfs,Adios,128.200.135.209,2019-01-25 19:31:47.045126+00:00,1,,,497,8,1,3,5,40,1,0,0,1,1,h8jbztbi
9,ito06f9g,,0,184,183,etfs,Adios,128.200.135.208,2019-01-25 19:31:50.274960+00:00,1,,,595,9,0,4,1,21,1,63,63,1,1,h8jbztbi
1,fa60giax,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-20 21:19:26.309222+00:00,1,,,586,1,0,9,9,20,1,60,60,1,1,2ewsl8vx
2,i3rbxb92,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-20 21:19:26.539802+00:00,1,,,554.5,2,0,10,7,11,1,33,33,1,1,2ewsl8vx
3,jap3dlok,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-20 21:19:26.866715+00:00,1,,,557,3,1,4,5,50,1,0,0,1,1,2ewsl8vx
4,90rav3se,,0,184,183,etfs2,Adios,128.200.135.214,2018-11-20 21:19:27.688082+00:00,1,,,546.5,4,0,4,9,9,1,27,27,1,1,2ewsl8vx
5,l82r9qio,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-20 21:19:27.815337+00:00,1,,,611,5,0,6,3,20,1,60,60,1,1,2ewsl8vx
6,tahi8fye,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-20 21:19:28.903690+00:00,1,,,440.5,6,1,4,4,20,1,0,0,1,1,2ewsl8vx
7,8pgfljl9,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-20 21:19:29.811126+00:00,1,,,870.5,7,1,5,2,40,1,0,0,1,1,2ewsl8vx
8,bhjbhlc2,,0,184,183,etfs2,Adios,128.200.135.199,2018-11-20 21:19:32.253212+00:00,1,,,676.5,8,0,1,2,30,1,90,90,1,1,2ewsl8vx
9,etl5at8q,,0,184,183,etfs2,Adios,128.200.135.201,2018-11-20 21:19:40.930516+00:00,1,,,455.5,9,1,6,1,40,1,0,0,1,1,2ewsl8vx
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,1,1,2,45,1,0,0,1,1,pnbcdmga
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,0,7,7,60,1,180,180,1,1,pnbcdmga
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,0,9,9,25,1,75,75,1,1,pnbcdmga
4,pdmheqm5,,0,183,183,etfs2,Adios,128.200.135.214,2018-11-30 21:21:19.118391+00:00,1,,,395,4,1,5,4,29,1,0,0,1,1,pnbcdmga
5,cbq187nv,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-30 21:21:19.519713+00:00,1,,,853,5,1,3,10,40,1,0,0,1,1,pnbcdmga
6,fr7ywcq2,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-30 21:21:19.284605+00:00,1,,,631.3,6,1,6,4,15,1,0,0,1,1,pnbcdmga
7,4lstzzhr,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-30 21:21:19.655906+00:00,1,,,482.5,7,1,8,1,25,1,0,0,1,1,pnbcdmga
8,pw6gpuw3,,0,183,183,etfs2,Adios,128.200.135.199,2018-11-30 21:21:20.333594+00:00,1,,,689,8,0,5,6,16,1,48,48,1,1,pnbcdmga
9,o6xznfar,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-30 21:21:21.173466+00:00,1,,,621,9,1,6,5,35,1,0,0,1,1,pnbcdmga
1,vzha90ch,,0,184,183,etfs,Adios,128.200.135.206,2018-12-07 21:25:23.705623+00:00,1,,,667,1,0,8,5,36,1,108,108,1,1,vh967hka
2,iapdtiln,,0,184,183,etfs,Adios,128.200.135.214,2018-12-07 21:25:27.466000+00:00,1,,,523,2,1,6,5,25,1,0,0,1,1,vh967hka
3,3ghhx4uo,,0,184,183,etfs,Adios,128.200.135.218,2018-12-07 21:25:27.466997+00:00,1,,,518,3,1,1,1,51,1,0,0,1,1,vh967hka
